강예림	990109-1000001	서울특별시 중곡동	경기여자고등학교	010-0000-0001
이성수	990109-1000002	서울특별시 능동	가락고등학교	010-0000-0002
장형수	990109-1000003	서울특별시 구의동	개포고등학교	010-0000-0003
이정현	990109-1000004	서울특별시 광장동	경인고등학교	010-0000-0004
정혜리	990109-1000005	서울특별시 자양동	고척고등학교	010-0000-0005
조아라	990109-1000006	서울특별시 화양동	공항고등학교	010-0000-0006
이자영	990109-1000007	서울특별시 군자동	관악고등학교	010-0000-0007
조영수	990109-1000008	서울특별시 신설동	광남고등학교	010-0000-0008
최장현	990109-1000009	서울특별시 용두동	광양고등학교	010-0000-0009
김현수	990109-1000010	서울특별시 제기동	구로고등학교	010-0000-0010
경아름	990109-1000011	서울특별시 전농동	구일고등학교	010-0000-0011
이제수	990109-1000012	서울특별시 답십리동	구정고등학교	010-0000-0012
김현영	990109-1000013	서울특별시 장안동	금천고등학교	010-0000-0013
장조영	990109-1000014	서울특별시 청량리동	노원고등학교	010-0000-0014
지선희	990109-1000015	서울특별시 회기동	누원고등학교	010-0000-0015
조진태	990109-1000016	서울특별시 휘경동	당곡고등학교	010-0000-0016
한경수	990109-1000017	서울특별시 이문동	대영고등학교	010-0000-0017
소지현	990109-1000018	서울특별시 용신동	독산고등학교	010-0000-0018
강아현	990109-1000019	서울특별시 면목동	동작고등학교	010-0000-0019
이수아	990109-1000020	서울특별시 상봉동	둔촌고등학교	010-0000-0020
장혜림	990109-1000021	서울특별시 중화동	서초고등학교	010-0000-0021
최한태	990109-1000022	서울특별시 묵동	석관고등학교	010-0000-0022
한태영	990109-1000023	서울특별시 망우동	수락고등학교	010-0000-0023
이수철	990109-1000024	서울특별시 신내동	신림고등학교	010-0000-0024
정장현	990109-1000025	서울특별시 후암동	신목고등학교	010-0000-0025
장태현	990109-1000026	서울특별시 용산동2가	신현고등학교	010-0000-0026
강강추	990109-1000027	서울특별시 용산동4가	양재고등학교	010-0000-0027
장준석	990109-1000028	서울특별시 갈월동	언남고등학교	010-0000-0028
이조현	990109-1000029	서울특별시 남영동	영신고등학교	010-0000-0029
조혜수	990109-1000030	서울특별시 용산가1동	오금고등학교	010-0000-0030
강태산	990109-1000031	서울특별시 동자동	인헌고등학교	010-0000-0031
신예린	990109-1000032	서울특별시 서계동	자양고등학교	010-0000-0032
정오영	990109-1000033	서울특별시 신창동	잠신고등학교	010-0000-0033
최주현	990109-1000034	서울특별시 산천동	중경고등학교	010-0000-0034
김민태	990109-1000035	서울특별시 청암동	중화고등학교	010-0000-0035
장성훈	990109-1000036	서울특별시 효창동	창동고등학교	010-0000-0036
